,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x00,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14
Luxembourg,,,,,,1.4,1.3,1.5,1.4,1.2,1.1,1.2,1.4,1.9,2.4,2.6,2.9,3.1,2.9,2.7,2.4,2.2,2.5,3.3,3.7,4.1,4.2,4.2,4.2,5.4,5.8,5.7,6.1,6.9,7.1
Mexico,,,,,,,,,,,2.7,3,3.1,3.2,3.5,6.9,5.2,4.1,3.6,2.5,2.6,2.5,2.9,3,3.7,3.5,3.2,3.4,3.5,5.2,5.2,5.2,4.8,5,4.9
Netherlands,6.2,8.6,11.6,11.9,12.2,10.5,10.5,10,9.4,8.8,7.7,7.3,5.6,6.3,7.2,7.2,6.4,5.5,4.4,3.6,2.7,2.1,2.6,3.6,4.6,4.7,3.9,3.2,2.8,3.4,4.5,4.4,5.3,6.7,
New Zealand,2.2,3.6,3.5,5.7,5.7,4.2,4.1,4.1,5.6,7.3,8,10.6,10.7,9.8,8.4,6.4,6.3,6.9,7.7,7.1,6.2,5.4,5.3,4.7,4,3.8,3.8,3.6,4.2,6.1,6.5,6.5,6.9,6.2,5.8
Poland,,,,,,,,,,,6.5,12.3,13.3,14,14.4,13.3,12.4,11.2,10.5,13.9,16.1,18.2,19.9,19.6,19,17.7,13.8,9.6,7.1,8.2,9.6,9.6,10.1,10.3,9
Portugal,7.8,7.6,7.5,7.9,8.5,8.7,8.6,7.1,5.8,5.1,4.6,4.3,4.1,5.5,6.8,7.2,7.2,6.7,5,4.4,4,4,5,6.3,6.7,7.6,7.7,8,7.6,9.5,10.8,12.8,15.6,16.3,14
Slovak Republic,,,,,,,,,,,,,,,13.6,13.1,11.3,11.9,12.6,16.4,18.8,19.3,18.6,17.5,18.1,16.2,13.3,11,9.6,12.1,14.4,13.6,13.9,14.2,13.2
Slovenia,,,,,,,,,,,,,,,,,6.9,6.6,7.4,7.3,6.9,5.7,5.9,6.5,6,6.5,5.9,4.8,4.4,5.9,7.2,8.2,8.8,10.1,9.7
Spain,11.5,14.2,16,17.5,20.2,21.6,21.1,20.3,19.3,17.3,16.3,16.4,18.5,22.8,24.2,23,22.1,20.7,18.7,15.7,13.9,10.6,11.5,11.5,11,9.2,8.5,8.3,11.3,17.9,19.9,21.5,24.9,26.2,24.5
Turkey,8.1,7.1,7,7.7,7.6,7.1,7.9,8.3,8.4,8.6,8,8.2,8.5,8.9,8.6,7.6,6.6,6.8,6.9,7.7,6.5,8.4,10.3,10.5,10.8,10.6,10.2,10.3,11,14,11.9,9.8,9.2,9.7,9.9
United Kingdom,5.7,9.1,10.5,11.4,11.9,11.3,10.8,10.8,8.8,7.2,6.9,8.4,9.7,10.3,9.6,8.6,8.1,7.1,6.1,6,5.5,4.8,5.1,4.9,4.7,4.7,5.4,5.3,5.3,7.7,7.8,7.9,7.9,7.7,
United States,7.1,7.6,9.7,9.6,7.5,7.2,7,6.2,5.5,5.3,5.6,6.8,7.5,6.9,6.1,5.6,5.4,4.9,4.5,4.2,4,4.7,5.8,6,5.5,5.1,4.6,4.6,5.8,9.3,9.6,8.9,8.1,7.4,6.2
Average,6.2,7.3,8.5,9.5,9.7,9,8.8,8.5,8,7.1,6.2,7.4,8,8.9,9.1,8.7,8.2,8,7.9,8,7.6,7.4,7.7,7.7,7.8,7.4,6.8,6.1,6.1,8.5,9.1,9,9.5,9.8,9.8
